,Unnamed: 0,text,category,trans,translate
1678,1678,@prithvi nayak ನಿಮ್ಮ ಅವ್ವ ಊರ್ ಹಾದರಗಿತ್ತಿ ಅಂತೇ 🤣🤣🤣🤣ಒನ್ ನೈಟ್ ಕಳ್ಸ್ಕೊಡು ನಿಂಗೆ ತಮ್ಮ ನ್ನ ಕೊಡ್ತೀನಿ... ಲೋ ಚೋದು bookmyshow alli hogi nodu ದಬಾಕ್ 3 ರೇಟಿಂಗ್ಸ್ 63% ede. ಇನ್ನು ಒನ್ ವೀಕ್ ಆಗಿಲ್ಲ ತು.. ಹೋಗಿ ಒಡೆಯ ರೇಟಿಂಗ್ಸ್ ನೋಡು 15 ಡೇಸ್ ಆದ್ರೂ 80% ಇದೇ... ನೋಡು ಬೇಕಾದ್ರೆ ಗಾಂಡು ಸುಮ್ನೆ ಯಾಕ್ ತಿಕಾ ಉರ್ಕೋತಿಯ ಲೌಡೆ... ನಿಮ್ಮ ಲುಚ್ಚಾ continues 4 ಫ್ಲಾಪ್ ಫಿಲಂ ಕೊಟ್ಟ ಯಾಪ್ಪಾ ತು ಫ್ಲಾಪ್ ಸ್ಟಾರ್ ಬಳೆಗಾರ 🤣🤣🤣🤣🤣..,Negative,@ಪೃಥ್ವಿ ನಾಯಕ್ ನಿಮ್ಮ ಅವ್ವ ಊರ್ ಹಾದರಗಿತ್ತಿ ಅಂತೇ 🤣🤣🤣🤣ಒನ್ ನೈಟ್ ಕಳ್ಸ್ಕೊಡು ನಿಂಗೆ ತಮ್ಮ ನ್ನ ಕೊಡ್ತೀನಿ... ಲೋ ಚೋದು ಬಾಕ್ಮಿಷೋ ಅಲ್ಲಿ ಹೋಗಿ ನೋಡು ದಬಾಕ್ 3 ರೇಟಿಂಗ್ಸ್ 63% ಎದೆ. ಇನ್ನು ಒನ್ ವೀಕ್ ಆಗಿಲ್ಲ ತು.. ಹೋಗಿ ಒಡೆಯ ರೇಟಿಂಗ್ಸ್ ನೋಡು 15 ಡೇಸ್ ಆದ್ರೂ 80% ಇದೇ... ನೋಡು ಬೇಕಾದ್ರೆ ಗಾಂಡು ಸುಮ್ನೆ ಯಾಕ್ ತಿಕಾ ಉರ್ಕೋತಿಯ ಲೌಡೆ... ನಿಮ್ಮ ಲುಚ್ಚಾ ಕಂಟೀನ್ಸ್ 4 ಫ್ಲಾಪ್ ಫಿಲಂ ಕೊಟ್ಟ ಯಾಪ್ಪಾ ತು ಫ್ಲಾಪ್ ಸ್ಟಾರ್ ಬಳೆಗಾರ 🤣🤣🤣🤣🤣..,"@ prithivi nayak passes through your village and I will give you one night kalaskodu. Go and see the low chodu bakamiso and see the Dabangg 3 ratings are 63%.
"
1679,1679,I like u aadhi,Positive,ಈ ಲೈಕ್ ಊ ಆದಿ,"This love
"
1680,1680,Rashimika ilde iro avtara,Negative,ರಾಶಿಮಿಕ ಇಲ್ಲೆ ಇರೋ ಅವತರ,"Zodiac sign here
"
1681,1681,Leak alla adu theater run mugdidakke nAmazon prime hakidare,unknown state,ಲಿಕ್ ಅಲ್ಲಾ ಅದು ಥೇಟರ್ ರನ್ ಮುಗ್ದಿದಕ್ಕೆ ನೇಮಾಜಾನ್ ಪ್ರೈಮ್ ಹಾಕಿದರೆ,"Lick Allah, if it's a theater run failure, get a Nemazon Prime
"
1682,1682,@Manjunath BJP Jorapur yakpa,not-Kannada,@ಮಂಜುನಾಥ್ ಬಿಜೆಪಿ ಜೋರಾಪುರ್ ಯಕ್ಪ,"BJP MP Manjunath Bhajantri
"
1683,1683,ಇದು ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸೋ ಸಾಂಗ್!!!nಮಧ್ಯ  ಸೇವನೆ  ಅಭ್ಯಾಸದಿಂದ ಬೇಕಾದ್ರೆ ಮುಕ್ತಿ ಪಡೆಯಬಹುದು ಆದ್ರೆ ಈ ಸಾಂಗ್ ಇಂದ ಅಲ್ಲ  ನಿಜಾ ಅನ್ನೋರು Hands Up ಮಾಡಿ,Positive,ಇದು ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸೋ ಸಾಂಗ್!!!ನ್ಮಧ್ಯ ಸೇವನೆ ಅಭ್ಯಾಸದಿಂದ ಬೇಕಾದ್ರೆ ಮುಕ್ತಿ ಪಡೆಯಬಹುದು ಆದ್ರೆ ಈ ಸಾಂಗ್ ಇಂದ ಅಲ್ಲ ನಿಜಾ ಅನ್ನೋರು ಹಂದ ಅಪ್ ಮಾಡಿ,"This is a historic song!
"
1684,1684,ಚಂದನ್ ಶೆಟ್ಟಿ ಟ್ರೊಲ್ ವಿಡಿಯೋ ನೀವು ನೋಡಿ ನೆಗಡ್ಡೆ ಇದ್ರೆ ನಾವ್ ಗ್ಯಾರಂಟಿ,Positive,ಚಂದನ್ ಶೆಟ್ಟಿ ಟ್ರೊಲ್ ವಿಡಿಯೋ ನೀವು ನೋಡಿ ನೆಗಡ್ಡೆ ಇದ್ರೆ ನಾವ್ ಗ್ಯಾರಂಟಿ,"Chandan Shetty's video
"
1685,1685,Yalla kannadigarugu ansthithu bere bashe movies maddohange yak namma kannada movies maddalla antha.. but evagaaa yak bere bashe movies nodbeku antha ansoke shuruuu agbhitidhe alva Karnataka???,Negative,ಯಲ್ಲಾ ಕನ್ನಡಿಗರುಗು ಅನಿಸಿತು ಬೆರೆ ಬಾಷೆ ಮೂವೀಸ್ ಮದ್ದೊಹಂಗೆ ಯಾಕ್ ನಮ್ಮ ಕನ್ನಡ ಮೂವೀಸ್ ಮದ್ದಲ್ಲ ಅಂಥ.. ಬೂತ್ ಇವಾಗಾ ಯಾಕ್ ಬೆರೆ ಬಾಷೆ ಮೂವೀಸ್ ನೊಡ್ಬೇಕು ಅಂಥ ಆಂಸೋಕೆ ಶುರು ಅಗ್ಭಿತಿದೆ ಆಳ್ವ ಕರ್ನಾಟಕ???,"All the Kannadigas felt that Booth Evaga Yak Bere Bashe movies should be made like this.
"
1686,1686,Super marvlese  percent 365 day,Positive,ಸೂಪರ್ ಮಾರ್ವೆಸ್ಟ್ ಪರೆಂಟ್ 365 ಡೇ,"Super Marvest Percent 365-day run
"
1687,1687,Spr bro,not-Kannada,ಸ್ಪಾರ್ ಬ್ರೋ,"Spar Bro
"
1688,1688,See #2 on trending .,Positive,ಸೀ #2 ಒನ್ ಟ್ರೆಂಡಿಂಗ್ .,"Trending # 2.
"
1689,1689,Hats off bro  ಕರೆಕ್ಟಾಗಿ ಹೇಳಿದ್ದೀರ ಬ್ರೋ,Positive,ಹ್ಯಾಟ್ಸ್ ಅಫ್ ಬ್ರೋ ಕರೆಕ್ಟಾಗಿ ಹೇಳಿದ್ದೀರ ಬ್ರೋ,"Hats off bro
"
1690,1690,ಕನ್ನಡ ಒಂದೇ ಭಾಷೆಯಲ್ಲಿ ಬಕೆಟ್ದು ಕೆಜಿಎಫ್ ರಿಲೀಸ್ ಮಾಡಿದ್ರೆ 100 ಕೋಟಿ ಅಂತ ಪುಂಗಿಸೋಕೆ ಆಗಲ್ಲ ಅಂತ ಪಾನ್ ಇಂಡಿಯಾ ಅಂತ ಮಾಡಿದ್ರು ಹಾಗೆ ಕನ್ನಡ ಒಂದೇ ಭಾಷೆಯಲ್ಲಿ ರಿಲೀಸ್ ಮಾಡಿದ್ರೆ ಪ್ಲಾಪ್ ಆದ್ರೆ ಹಿಟ್ ಅಂತ ಹೇಳ್ಸೋಕೆ ಆಗಲ್ಲ ಅಂತ ಪಾನ್ ಇಂಡಿಯಾ ಮಾಡಿ 250 ಕೋಟಿ ಅಂತ ಪುಂಗಿ ಬಿಟ್ರು ಆದ್ರೆ ಬಕೆಟ್ ಮೂವಿ ಬಡ್ಜೆಟ್ ಏರಿಲ್ಲ ರೆಮ್ಯುನೆರೆಷನ್ ಏರಿಲ್ಲ ಈಗ ಅದೇ ಬಕೆಟ್ ಫಾರ್ಮುಲಾ ರಕ್ಷಿತ್ ಹಿಡಿತವ್ನೆ ಆದ್ರೆ ಈ ಮಂಗ ಮುಂಡೇವು ಏನೇ ಸರ್ಕಸ್ ಮಾಡಿದ್ರು ಪುಂಗಿ ಬಿಟ್ರು ಪ್ರೊಡ್ಯುಸರ್ ಯಾವನ್ ಇವ್ರು ಹತ್ತಿರ ಬರಲ್ಲ ಬಿಡ್ರೋ ಅದೇ ಲೋ ಬಡ್ಜೆಟ್ ಪ್ರೊಡ್ಯುಸರ್ ಬರ್ಬೇಕು ಅಷ್ಟೇ,Positive,ಕನ್ನಡ ಒಂದೇ ಭಾಷೆಯಲ್ಲಿ ಬಕೆಟ್ದು ಕೆಜಿಎಫ್ ರಿಲೀಸ್ ಮಾಡಿದ್ರೆ 100 ಕೋಟಿ ಅಂತ ಪುಂಗಿಸೋಕೆ ಆಗಲ್ಲ ಅಂತ ಪಾನ್ ಇಂಡಿಯಾ ಅಂತ ಮಾಡಿದ್ರು ಹಾಗೆ ಕನ್ನಡ ಒಂದೇ ಭಾಷೆಯಲ್ಲಿ ರಿಲೀಸ್ ಮಾಡಿದ್ರೆ ಪ್ಲಾಪ್ ಆದ್ರೆ ಹಿಟ್ ಅಂತ ಹೇಳ್ಸೋಕೆ ಆಗಲ್ಲ ಅಂತ ಪಾನ್ ಇಂಡಿಯಾ ಮಾಡಿ 250 ಕೋಟಿ ಅಂತ ಪುಂಗಿ ಬಿಟ್ರು ಆದ್ರೆ ಬಕೆಟ್ ಮೂವಿ ಬಡ್ಜೆಟ್ ಏರಿಲ್ಲ ರೆಮ್ಯುನೆರೆಷನ್ ಏರಿಲ್ಲ ಈಗ ಅದೇ ಬಕೆಟ್ ಫಾರ್ಮುಲಾ ರಕ್ಷಿತ್ ಹಿಡಿತವ್ನೆ ಆದ್ರೆ ಈ ಮಂಗ ಮುಂಡೇವು ಏನೇ ಸರ್ಕಸ್ ಮಾಡಿದ್ರು ಪುಂಗಿ ಬಿಟ್ರು ಪ್ರೊಡ್ಯುಸರ್ ಯಾವನ್ ಇವ್ರು ಹತ್ತಿರ ಬರಲ್ಲ ಬಿಡ್ರೋ ಅದೇ ಲೋ ಬಡ್ಜೆಟ್ ಪ್ರೊಡ್ಯುಸರ್ ಬರ್ಬೇಕು ಅಷ್ಟೇ,"If KGF was released in Kannada in one language, it would not be a Rs 100 crore hit.
"
1691,1691,ಸೂಪರ್ ಆಗಿ ಹೇಳ್ದೆ ಗುರು,Positive,ಸೂಪರ್ ಆಗಿ ಹೇಳ್ದೆ ಗುರು,"Superb teacher
"
1692,1692,ಫಿದಾ ಆಗೆವಿ ಅಕ್ಕಾ ... ... gorgeous movie,Positive,ಫಿದಾ ಆಗೆವಿ ಅಕ್ಕಾ ... ... ಗಾರ್ಗೀಸ್ ಮೂವಿ,"Fida Agei Akka... Gargi Movie
"
1693,1693,RAKSHIT ABHIMAANIGALE!! Yaaru yaaru aa signature stepna try maadidiro illi like maadi!!,Positive,ರಕ್ಷಿತ್ ಅಭಿಮಾನಿಗಳೇ!! ಯಾರು ಯಾರು ಆ ಸಿಗ್ನೇಚರ್ ಸ್ಟಿಪ್ನ ಟ್ರಿ ಮಾಡಿದಿರೋ ಇಲ್ಲಿ ಲೈಕ್ ಮಾಡಿ!!,"Rakshit fans!
"
1694,1694,ಏನು..... ಬರಿ ಕತ್ರಿನಾನ ಮಾತ್ರ ಜೋಕಾಲಿ ಅಡಿಸಬೇಕಾ ? ನಮ್ ನಾರಾಯಣ ಯಾರಿಗೂ ಕಡಿಮೆ ಇಲ್ಲ 1,Positive,ಏನು..... ಬರಿ ಕತ್ರಿನಾನ ಮಾತ್ರ ಜೋಕಾಲಿ ಅಡಿಸಬೇಕಾ ? ನಮ್ ನಾರಾಯಣ ಯಾರಿಗೂ ಕಡಿಮೆ ಇಲ್ಲ 1,"What is it that you want to wear only Katrina? 1.
"
1695,1695,ಅವನೇ ಶ್ರೀಮನ್ನಾರಾಯಣ ಪಾರ್ಟಿ 2 ಬರುವಂತಾಗಲಿ,Positive,ಅವನೇ ಶ್ರೀಮನ್ನಾರಾಯಣ ಪಾರ್ಟಿ 2 ಬರುವಂತಾಗಲಿ,"May he be Srimannarayana Party 2.
"
1696,1696,Great work bro....nKeep it up,not-Kannada,ಗ್ರೇಟ್ ವರ್ಕ್ ಬ್ರೋ....ನೀಪಿಪ್ ಐಟಿ ಅಪ್,"Great Work bro...
"
1697,1697,Kannada cinema belisi,Positive,ಕನ್ನಡ ಸಿನಿಮಾ ಬೆಳಿಸಿ,"Kannada cinema
"
1698,1698,Yes producer du number kodi phone pay madbeku.,Mixed feelings,ಯಸ್ ಪ್ರೊಡ್ಯೂಸರ್ ಡೂ ನಂಬರ್ ಕೊಡಿ ಫೋನ್ ಪೇ ಮಾಡ್ಬೇಕು.,"The producer has to give the phone number.
"
1699,1699,കട്ട വെയ്റ്റിങ് മലയാളം asn,not-Kannada,കട്ട വെയ്റ്റിങ് മലയാളം ಆನ್ಸ್,"Ans
"
1700,1700,Sooper maga 🤗 u r a true Indian,Positive,ಸೂಪರ್ ಮಗ 🤗 ಊ ರ್ ಏ ಟ್ರೂ ಇಂಡಿಯನ್,"The Super Son of India
"
1701,1701,Iddane idu nanna nabike,Positive,ಇದ್ದಾನೆ ಇದು ನನ್ನ ನಾಬಿಕೆ,"This is my take
"
1702,1702,Bro nanu kichcha fan bro...,unknown state,ಬ್ರೋ ನಾನು ಕಿಚ್ಚ ಫ್ಯಾನ್ ಬ್ರೋ...,"Bro, I'm a little fan bro...
"
1703,1703,ಎನ್ ಇಡಿಟ ಮಾಡಿದಿರಾ ಗುರುವೆ,Negative,ಎನ್ ಇಡಿಟ ಮಾಡಿದಿರಾ ಗುರುವೆ,"What have you done, Guru?
"
1704,1704,ನಿಮ್ಮ ಅವ್ವ ಸೂಳೆ,Negative,ನಿಮ್ಮ ಅವ್ವ ಸೂಳೆ,"Your damag
"
1705,1705,@HITMAN gaming crt,unknown state,@ಹಿಟ್ಮನ್ ಗೇಮಿಂಗ್ ಕ್ರೇಟ್,"@ hitman Gaming CREATE
"
1706,1706,ಸಾರ್ ನಿಮ್ಮ ತಂದೆ ನಿಮಗೆ ಕಲಿಸಿದ ಸಂಸ್ಕಾರ ಸಂಸ್ಕೃತಿ ನಮಗೆ ತುಂಬಾ ಇಷ್ಟ ಆಯ್ತು ಮತ್ತು ನೀವು ಅವರು ತೋರಿಸಿದ ಮಾರ್ಗದರ್ಶನದಲ್ಲಿ ನಡೀತಾ ಇರೋದು ನಮಗೆ ತುಂಬಾ ತುಂಬಾ ಇಷ್ಟ ಆಯ್ತು ನೀವು ತಂದೆಗೆ ತಕ್ಕ ಮಗ,Positive,ಸಾರ್ ನಿಮ್ಮ ತಂದೆ ನಿಮಗೆ ಕಲಿಸಿದ ಸಂಸ್ಕಾರ ಸಂಸ್ಕೃತಿ ನಮಗೆ ತುಂಬಾ ಇಷ್ಟ ಆಯ್ತು ಮತ್ತು ನೀವು ಅವರು ತೋರಿಸಿದ ಮಾರ್ಗದರ್ಶನದಲ್ಲಿ ನಡೀತಾ ಇರೋದು ನಮಗೆ ತುಂಬಾ ತುಂಬಾ ಇಷ್ಟ ಆಯ್ತು ನೀವು ತಂದೆಗೆ ತಕ್ಕ ಮಗ,"Sir, we really liked the culture that your father taught you and we loved the guidance that you gave us and we liked that you were the right son of your father.
"
1707,1707,Kaltana maadoru...rowdism maadoro nodi kalibaeku ...,Negative,ಕಳತನ ಮಾಡೋರು...ರೋಡಿಸ್ ಮಾಡೋರ್ ನೋಡಿ ಕಲಿಬೇಕು ...,"Take a look at Rodis Mador... and learn.
"
1708,1708,super vidio,Positive,ಸೂಪರ್ ವೀಡಿಯೊ,"Super Video
"
1709,1709,Elru nodle bekadaa video..,Positive,ಎಲ್ರೂ ನೋಡಲ್ ಬೇಕಾದ ವೀಡಿಯೋ..,"A must watch video for everyone
"
1710,1710,Super bro ban agide valedu,Positive,ಸೂಪರ್ ಬ್ರೋ ಬ್ಯಾನ್ ಆಗಿದೆ ಒಳೆದು,"The Super Brow is Banned
"
1711,1711,BOSS VIDEO SONG MOSTER HIT,Mixed feelings,ಬಾಸ್ ವೀಡಿಯೋ ಸಾಂಗ್ ಮೋಸ್ಟರ್ ಹಿಟ್,"The music video of the song is a hit
"
1712,1712,ದಿಸ್ ಐಸ್ ದಿ ಬೇಸ್ ಸನ್ ಎವರ್ ಲವ್ ಉ,Positive,ದಿಸ್ ಐಸ್ ದಿ ಬೇಸ್ ಸನ್ ಎವರ್ ಲವ್ ಉ,"This Is The Base Sun Ever Love You
"
1713,1713,Guru eno heludri but sakkatag heludri super guru,Mixed feelings,ಗುರು ಏನೋ ಹೇಳುದ್ರಿ ಬೂತ್ ಸಕ್ಕತಗೆ ಹೇಳುದ್ರಿ ಸೂಪರ್ ಗುರು,"The Guru says something, the Booth tells the Sakata, the Super Guru
"
1714,1714,Edu charitre srustiso avatara,Positive,ಎದು ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸೋ ಅವತಾರ,"History created
"
1715,1715,ಒಂದ ಮೂವಿ ಮಾಡೋಕೆ 7 ವರ್ಷ? ಅದಕ್ಕೆ ಸರಿಯಾಗಿ ಆಗಿದೆ. ಮುಂದೆ ಬೇಗ ಮಾಡಿ ಬಿಡಿ. ಇನ್ನೂ ಇದನ್ನೇ analyse ಮಾಡ್ಕೊಂಡು 7 ವರ್ಷ ಕುತ್ಕೊಬೇಡಿ. ನೋಡಿದ ಜನ anacin ಅಂತ ಇದಾರೆ ಆಬ್ಬ. ಆಡಿಷನ್ ದಿಯಾ ಅಂತ ಒಂದು ಕಥೆ ಮಾಡಿ.,Negative,ಒಂದ ಮೂವಿ ಮಾಡೋಕೆ 7 ವರ್ಷ? ಅದಕ್ಕೆ ಸರಿಯಾಗಿ ಆಗಿದೆ. ಮುಂದೆ ಬೇಗ ಮಾಡಿ ಬಿಡಿ. ಇನ್ನೂ ಇದನ್ನೇ ಅನಲಿಸೆ ಮಾಡ್ಕೊಂಡು 7 ವರ್ಷ ಕುತ್ಕೊಬೇಡಿ. ನೋಡಿದ ಜನ ಅನೇಸಿನ್ ಅಂತ ಇದಾರೆ ಆಬ್ಬ. ಆಡಿಷನ್ ದಿಯಾ ಅಂತ ಒಂದು ಕಥೆ ಮಾಡಿ.,"You want to do a movie for 7 years?
"
1716,1716,Dislike yav mahanbhavru madiradu  guru.!! Looks like promising trailer,Negative,ದಿಸ್ಲಿಕೆ ಯಾ ಮಹಂಭವರು ಮಾಡಿರು ಗುರು.!! ಲುಕ್ಸ್ ಲೈಕ್ ಪ್ರಾಮಿಸಿಂಗ್ ಟ್ರೈಲರ್,"Watch the trailer of Disalike Ya Mahamba!
"
1717,1717,Adege astondu currect aagi heltira madam,Mixed feelings,ಅದೇಗೆ ಅಷ್ಟೊಂದು ಕರೆಕ್ಟ್ ಆಗಿ ಹೆಲ್ತಿರ ಮಾಡಂ,"So perfect is that
"
1718,1718,video nodidare bhaya agutthe,unknown state,ವೀಡಿಯೋ ನೋಡಿದರೆ ಭಯ ಆಗುತ್ತೆ,"Watch the video it is scary
"
1719,1719,@Unity of India ನಾವೂ ಬ್ರಹ್ಮಣರು ಆಗುವುದಿಲ್ಲ ಏಕೆಂದ್ರೆ ಅವರು ಅಂಧಕಾರಲಿ  ಬದುಕುತಾರೆ ನಾವು ಗಳೂ ಹಿಂದೂಗಳೇ ಆದ್ರೆ ಹಿಂದೂಗಳೂ ಹಿಂದೂಗಾಳ ಮೇಲೆನೆ ಅನ್ಯಾಯ ಮಾಡ್ತಾರೆ ಅಧೋಸ್ಕರ ನಾವು ಹಿಂದೂ ಧರ್ಮ ಬಿಟ್ಟು ಪವಿತ್ರಾ ಬೋವ್ದ ಧರ್ಮಕೆ ಬುಧನ ದಾರಿಯಲಿ ನಡೆಯುತ್ತೇವೆ ನಾವು ನಡೆದೇ ನಡೆಯಿತೇವೆ ಭಾರತ ಬುದ್ಧ ರಾಗುತ್ತೆವೆ,Negative,@ಯುನಿಟಿ ಅಫ್ ಇಂಡಿಯಾ ನಾವೂ ಬ್ರಹ್ಮಣರು ಆಗುವುದಿಲ್ಲ ಏಕೆಂದ್ರೆ ಅವರು ಅಂಧಕಾರಲಿ ಬದುಕುತಾರೆ ನಾವು ಗಳೂ ಹಿಂದೂಗಳೇ ಆದ್ರೆ ಹಿಂದೂಗಳೂ ಹಿಂದೂಗಾಳ ಮೇಲೆನೆ ಅನ್ಯಾಯ ಮಾಡ್ತಾರೆ ಅಧೋಸ್ಕರ ನಾವು ಹಿಂದೂ ಧರ್ಮ ಬಿಟ್ಟು ಪವಿತ್ರಾ ಬೋವ್ದ ಧರ್ಮಕೆ ಬುಧನ ದಾರಿಯಲಿ ನಡೆಯುತ್ತೇವೆ ನಾವು ನಡೆದೇ ನಡೆಯಿತೇವೆ ಭಾರತ ಬುದ್ಧ ರಾಗುತ್ತೆವೆ,"@ Unity of India we will not become Brahmins because they live in darkness.
"
1720,1720,ತುಂಬಾ ತ್ರಿಲಿಂಗ್ ಇರೋ ಹಾಗೆ ಇದೆ ಬೇಗ ರೇಲಿಜ ಮಾಡಿ,Positive,ತುಂಬಾ ತ್ರಿಲಿಂಗ್ ಇರೋ ಹಾಗೆ ಇದೆ ಬೇಗ ರೇಲಿಜ ಮಾಡಿ,"It's a lot of fun.
"
1721,1721,nim songs super,Positive,ನಿಮ್ ಸಾಂಗ್ಸ್ ಸೂಪರ್,"Superb song
"
1722,1722,Anyone from kerala here,not-Kannada,ಆನ್ಯೋನ್ ಫ್ರಮ್ ಕೇರಳ ಹೀರೆ,"An ode to Kerala
"
1723,1723,ಮೆರೆಯಲಿ ಕನ್ನಡದ,unknown state,ಮೆರೆಯಲಿ ಕನ್ನಡದ,"Kannada language
"
1724,1724,Togari thippa bahala chanagide,Positive,ತೊಗರಿ ತಿಪ್ಪ ಬಹಳ ಚನಾಗಿದೆ,"The coconut is very sweet
"
1725,1725,superb superb superb,not-Kannada,ಸುಪರ್ಬ್ ಸುಪರ್ಬ್ ಸುಪರ್ಬ್,"Super Superb
"
1726,1726,@Ajaya shetty jai,Mixed feelings,@ಅಜಯ ಶೆಟ್ಟಿ ಜೈ,"Ajay Shetty
"
1727,1727,Love you boss,not-Kannada,ಲವ್ ಯುಎ ಬಾಸ್,"Love U A Boss
"
1728,1728,Corona virus iruvudarinda jana barta illa,Negative,ಚೋರೋಣ ವೈರಸ್ ಇರುವುದರಿಂದ ಜನ ಬರ್ತಾ ಎಲ್ಲಾ,"People are getting infected with the virus
"
1729,1729,Jaathigalu ee deshada belavanigege athi dodda thodakaagide.,Negative,ಜಾತಿಗಳು ಈ ದೇಶದ ಬೆಳವಣಿಗೆಗೆ ಅತಿ ದೊಡ್ಡ ತೊಡಕಾಗಿದೆ.,"Caste is the biggest hurdle in the development of the country.
"
1730,1730,No..chandan rap song,unknown state,ನೋ..ಚಂದನ್ ರಫ್ ಸಾಂಗ್,"Chandan Roy Sanyal
"
1731,1731,ಅವನೇ ಶ್ರಿಮನಾರಾಯಣ ಸಿನಿಮಾಗೆ ಭಾರತದೆಲ್ಲೆಡೆ ಗೆಲುವು ಸಿಗಲಿ  ಕನ್ನಡ ಸಿನಿಮಾ ಇನ್ನು ಬೆಳೆಯಲಿ. ಜೈ ಬಿಗ್ ಬಾಸ್,Positive,ಅವನೇ ಶ್ರಿಮನಾರಾಯಣ ಸಿನಿಮಾಗೆ ಭಾರತದೆಲ್ಲೆಡೆ ಗೆಲುವು ಸಿಗಲಿ ಕನ್ನಡ ಸಿನಿಮಾ ಇನ್ನು ಬೆಳೆಯಲಿ. ಜೈ ಬಿಗ್ ಬಾಸ್,"'Jai Shri Ramanarayanan 'will be a success all over India.
"
1732,1732,Superb song,not-Kannada,ಸುಪರ್ಬ್ ಸಾಂಗ್,"Superb song
"
1733,1733,@punter 18 pakka,unknown state,@ಪಂಟರ್ 18 ಪಕ್ಕ,"@ Pantar 18 page
"
1734,1734,ಕನ್ನಡದಲ್ಲಿ ಮಾತಾಡು ಪೃಥ್ವಿ...ಇಂಗ್ಲಿಷ್ ಬೇಡ ಇದು ಕರ್ನಾಟಕ,Mixed feelings,ಕನ್ನಡದಲ್ಲಿ ಮಾತಾಡು ಪೃಥ್ವಿ...ಇಂಗ್ಲಿಷ್ ಬೇಡ ಇದು ಕರ್ನಾಟಕ,"Speak in Kannada, not English
"
1735,1735,ಅತ್ಯುತ್ತಮ ಹಾಡು,Positive,ಅತ್ಯುತ್ತಮ ಹಾಡು,"Best Lyrics
"
1736,1736,Ha sanchari vijay waiting to see him,Positive,ಹಾ ಸಂಚಾರಿ ವಿಜಯ್ ವೈಟಿಂಗ್ ಟೊ ಸೀ ಹಿಂ,"Haa Sanchari Vijay Waging To See Him
"
1737,1737,Flair gun  ge hondu like,unknown state,ಫ್ಲಾರ್ ಗನ್ ಗೆ ಹೊಂದು ಲೈಕ್,"Like a flare gun
"
1738,1738,Dislikers Are rashmika fans maybe,Negative,ಡಿಸ್ಲಿಕರ್ಸ್ ಅರೆ ರಶ್ಮಿಕ ಫ್ಯಾನ್ಸ್ ಮೈಬು,"Dissolicitors half raspy fans
"
1739,1739,Anjali Devi hi,not-Kannada,ಅಂಜಲಿ ದೇವಿ ಹಾಯ್,"Anjali Devi
"
1740,1740,@Lalsab Mulla tq sir,unknown state,@ಲಾಲ್ಸಾಬ್ ಮುಳ್ಳ ಟೆಕಿ ಸಾರ್,"@ Lalsab mullah techie sir
"
1741,1741,Super  Anna,Positive,ಸೂಪರ್ ಅನ್ನಾ,"Super Anna
"
1742,1742,ತುಂಬಾ ಚನ್ನಾಗಿದೆ ಸಾರ,Positive,ತುಂಬಾ ಚನ್ನಾಗಿದೆ ಸಾರ,"Very nice
"
1743,1743,We won mr stark.....🤣🤣🤣🤣🤣🤣🤣🤣,Positive,ವೇ ವಾನ್ ಎರ್ರ ಸ್ಟಾರ್ಕ್.....🤣🤣🤣🤣🤣🤣🤣🤣,"Wei Wan Erra Stark......
"
1744,1744,@Anil A hu niamman kalskodu keydu kolve baavi madi kalsthini olike eldu snana madkollivanthe thuldeepannan pans for a reason caste dogs 🤣,Negative,@ಅನಿಲ್ ಏ ಹೂ ನಿಯಮ್ಮನ್ ಕಾಲ್ಸುದು ಕೇಯಿದು ಕೊಲ್ವೆ ಬಾವಿ ಮಾಡಿ ಕಲ್ಸು ಆಲಿಕೆ ಎಳ್ದು ಸ್ನಾನ ಮಾಡ್ಕೊಳ್ಳಿವಂತೆ ತುಲ್ಡೀಪನ್ನನ್ ಪಾನ್ಸ್ ಫೋರ್ ಏ ರಿಯೇಷನ್ ಕಾಸ್ಟ್ ಡಾಗ್ಸ್ 🤣,"Thuldippanan Pans for a Ration Cast Dogs
"
1745,1745,music alli  eno diffirent kick ide,Positive,ಮ್ಯೂಸಿಕ್ ಅಲ್ಲಿ ಏನೋ ಡಿಫಿರೆಂಟ್ ಕಿಕ್ ಇದೇ,"Theres something different about music.
"
1746,1746,Super 🤗 song,not-Kannada,ಸೂಪರ್ 🤗 ಸಾಂಗ್,"Superb song
"
1747,1747,Ragad song  ....,unknown state,ರಗದ್ ಸಾಂಗ್ ....,"Raga song
"
1748,1748,ಇದು ಚರಿತ್ರೆ ಸ್ರಷ್ಠಿಸೋ ಅವತಾರ,unknown state,ಇದು ಚರಿತ್ರೆ ಸ್ರಷ್ಠಿಸೋ ಅವತಾರ,"This is a historical fact
"
1749,1749,We like shanvi nWe hate sanvi,Negative,ವೇ ಲೈಕ್ ಶಾಂ ನ್ಯೂ ಹಾತೆ ಸಂವಿ,"Like the new wave
"
1750,1750,+Nabilal S ಕಗಬಜ,unknown state,+ನಾಬಿಲ್ ಎಸ್ ಕಗಬಜ,"+ Nabil S Kaggabja
"
